지역명,연도,월,평당분양가격,전용면적
세종,2015.0,12.0,8830.8,60㎡~85㎡
세종,2015.0,12.0,8781.3,85㎡~102㎡
세종,2015.0,12.0,9081.6,102㎡~
강원,2015.0,12.0,7164.299999999999,모든면적
강원,2015.0,12.0,7563.599999999999,60㎡
강원,2015.0,12.0,7236.9,60㎡~85㎡
강원,2015.0,12.0,6801.299999999999,85㎡~102㎡
강원,2015.0,12.0,7164.299999999999,102㎡~
충북,2015.0,12.0,6616.5,모든면적
충북,2015.0,12.0,6405.299999999999,60㎡
충북,2015.0,12.0,6656.099999999999,60㎡~85㎡
충북,2015.0,12.0,7510.799999999999,85㎡~102㎡
충북,2015.0,12.0,7461.299999999999,102㎡~
충남,2015.0,12.0,7487.7,모든면적
충남,2015.0,12.0,8045.4,60㎡
충남,2015.0,12.0,7520.7,60㎡~85㎡
충남,2015.0,12.0,8325.9,85㎡~102㎡
충남,2015.0,12.0,8065.2,102㎡~
전북,2015.0,12.0,6543.9,모든면적
전북,2015.0,12.0,6352.5,60㎡
전북,2015.0,12.0,6557.099999999999,60㎡~85㎡
전북,2015.0,12.0,7844.099999999999,85㎡~102㎡
전북,2015.0,12.0,7530.599999999999,102㎡~
전남,2015.0,12.0,6299.7,모든면적
전남,2015.0,12.0,6596.7,60㎡
전남,2015.0,12.0,6289.799999999999,60㎡~85㎡
전남,2015.0,12.0,7464.599999999999,85㎡~102㎡
전남,2015.0,12.0,7180.799999999999,102㎡~
경북,2015.0,12.0,7197.299999999999,모든면적
경북,2015.0,12.0,7187.4,60㎡
경북,2015.0,12.0,7207.2,60㎡~85㎡
경북,2015.0,12.0,8302.8,85㎡~102㎡
경북,2015.0,12.0,7821.0,102㎡~
경남,2015.0,12.0,7613.099999999999,모든면적
경남,2015.0,12.0,7524.0,60㎡
경남,2015.0,12.0,7685.7,60㎡~85㎡
경남,2015.0,12.0,9682.199999999999,85㎡~102㎡
경남,2015.0,12.0,9962.699999999999,102㎡~
제주,2015.0,12.0,7484.4,모든면적
제주,2015.0,12.0,7458.0,60㎡~85㎡
제주,2015.0,12.0,8523.9,85㎡~102㎡
제주,2015.0,12.0,8494.199999999999,102㎡~
서울,2016.0,1.0,20156.399999999998,모든면적
서울,2016.0,1.0,21209.1,60㎡
서울,2016.0,1.0,19918.8,60㎡~85㎡
서울,2016.0,1.0,21492.899999999998,85㎡~102㎡
서울,2016.0,1.0,21618.3,102㎡~
인천,2016.0,1.0,10530.3,모든면적
인천,2016.0,1.0,10982.4,60㎡
인천,2016.0,1.0,10263.0,60㎡~85㎡
인천,2016.0,1.0,11698.5,85㎡~102㎡
인천,2016.0,1.0,11246.4,102㎡~
경기,2016.0,1.0,10553.4,모든면적
경기,2016.0,1.0,10866.9,60㎡
경기,2016.0,1.0,10932.9,60㎡~85㎡
경기,2016.0,1.0,11385.0,85㎡~102㎡
경기,2016.0,1.0,12705.0,102㎡~
부산,2016.0,1.0,10401.599999999999,모든면적
부산,2016.0,1.0,9738.3,60㎡
부산,2016.0,1.0,10088.1,60㎡~85㎡
부산,2016.0,1.0,9758.1,85㎡~102㎡
부산,2016.0,1.0,12579.599999999999,102㎡~
대구,2016.0,1.0,10183.8,모든면적
대구,2016.0,1.0,11025.3,60㎡
대구,2016.0,1.0,10239.9,60㎡~85㎡
대구,2016.0,1.0,8355.6,85㎡~102㎡
대구,2016.0,1.0,9051.9,102㎡~
광주,2016.0,1.0,8477.699999999999,모든면적
광주,2016.0,1.0,7903.5,60㎡
광주,2016.0,1.0,8520.6,60㎡~85㎡
대전,2016.0,1.0,8098.2,모든면적
대전,2016.0,1.0,8530.5,60㎡
대전,2016.0,1.0,8012.4,60㎡~85㎡
대전,2016.0,1.0,8121.299999999999,85㎡~102㎡
울산,2016.0,1.0,10051.8,모든면적
울산,2016.0,1.0,8527.199999999999,60㎡
울산,2016.0,1.0,10074.9,60㎡~85㎡
울산,2016.0,1.0,8787.9,85㎡~102㎡
울산,2016.0,1.0,9484.199999999999,102㎡~
세종,2016.0,1.0,8794.5,모든면적
세종,2016.0,1.0,8583.3,60㎡
세종,2016.0,1.0,8830.8,60㎡~85㎡
세종,2016.0,1.0,8781.3,85㎡~102㎡
세종,2016.0,1.0,9081.6,102㎡~
강원,2016.0,1.0,7170.9,모든면적
강원,2016.0,1.0,7557.0,60㎡
강원,2016.0,1.0,7256.7,60㎡~85㎡
강원,2016.0,1.0,6801.299999999999,85㎡~102㎡
강원,2016.0,1.0,7164.299999999999,102㎡~
충북,2016.0,1.0,6626.4,모든면적
충북,2016.0,1.0,6441.599999999999,60㎡
충북,2016.0,1.0,6669.299999999999,60㎡~85㎡
충북,2016.0,1.0,7510.799999999999,85㎡~102㎡
충북,2016.0,1.0,7461.299999999999,102㎡~
충남,2016.0,1.0,7491.0,모든면적
